"size";"time";"type"
1000;3912;1
1000;3912;1
1000;3912;1
1000;3904;1
1000;3912;1
1000;3912;1
1000;3632;1
1000;3904;1
1000;3904;1
1000;3632;1
2000;5872;1
2000;6144;1
2000;5872;1
2000;6152;1
2000;6144;1
2000;6144;1
2000;5864;1
2000;6152;1
2000;6144;1
2000;5864;1
3000;8664;1
3000;8936;1
3000;8656;1
3000;8936;1
3000;8664;1
3000;8664;1
3000;8664;1
3000;8656;1
3000;8664;1
3000;9216;1
4000;11448;1
4000;11176;1
4000;11176;1
4000;11736;1
4000;11456;1
4000;11176;1
4000;11448;1
4000;11728;1
4000;11456;1
4000;11176;1
5000;17320;1
5000;17608;1
5000;17320;1
5000;17320;1
5000;25984;1
5000;17328;1
5000;17040;1
5000;17320;1
5000;17880;1
5000;17320;1
6000;23192;1
6000;22904;1
6000;22632;1
6000;31576;1
6000;22904;1
6000;22632;1
6000;23464;1
6000;22904;1
6000;22912;1
6000;23184;1
7000;26264;1
7000;26536;1
7000;25984;1
7000;25984;1
7000;25976;1
7000;25144;1
7000;26256;1
7000;26264;1
7000;25976;1
7000;25976;1
8000;28776;1
8000;28496;1
8000;30168;1
8000;30168;1
8000;30168;1
8000;30456;1
8000;30176;1
8000;30448;1
8000;30456;1
8000;30176;1
9000;36040;1
9000;30448;1
9000;31568;1
9000;31568;1
9000;31568;1
9000;32688;1
9000;33240;1
9000;33248;1
9000;33528;1
9000;33528;1
10000;37432;1
10000;36880;1
10000;37440;1
10000;37152;1
10000;37432;1
10000;37440;1
10000;37440;1
10000;45256;1
10000;37432;1
10000;37712;1
1000;5423184;2
1000;5450568;2
1000;5489680;2
1000;5504208;2
1000;5428784;2
1000;5447216;2
1000;5708712;2
1000;5467888;2
1000;5439952;2
1000;5473200;2
2000;21769872;2
2000;21931064;2
2000;21556152;2
2000;21600008;2
2000;21667056;2
2000;21905920;2
2000;21786912;2
2000;21818760;2
2000;21936376;2
2000;21981080;2
3000;48584376;2
3000;48546936;2
3000;48660920;2
3000;48445248;2
3000;48760104;2
3000;48596944;2
3000;49497088;2
3000;48746968;2
3000;48010824;2
3000;48016128;2
4000;85286456;2
4000;87728176;2
4000;86291080;2
4000;86459832;2
4000;86334104;2
4000;86355056;2
4000;88069016;2
4000;106704040;2
4000;95952088;2
4000;95667968;2
5000;135714976;2
5000;135603504;2
5000;137051776;2
5000;135640944;2
5000;135546520;2
5000;135601832;2
5000;138049976;2
5000;135727832;2
5000;135486728;2
5000;137702720;2
6000;194264872;2
6000;193860336;2
6000;196898800;2
6000;196604896;2
6000;196904104;2
6000;219733080;2
6000;219293624;2
6000;220832416;2
6000;219432752;2
6000;222796128;2
7000;263478992;2
7000;264224360;2
7000;260661512;2
7000;262659872;2
7000;266136952;2
7000;263359984;2
7000;263244600;2
7000;262934216;2
7000;263578456;2
7000;266346200;2
8000;347694336;2
8000;344925744;2
8000;347756360;2
8000;347654944;2
8000;350233552;2
8000;348275992;2
8000;347688192;2
8000;347795184;2
8000;347652432;2
8000;344818744;2
9000;435194896;2
9000;488119088;2
9000;488933744;2
9000;488941008;2
9000;486941528;2
9000;487795304;2
9000;487328752;2
9000;487332936;2
9000;486557400;2
9000;489679672;2
10000;544985256;2
10000;545773360;2
10000;544974912;2
10000;544355264;2
10000;544576808;2
10000;546190464;2
10000;543963856;2
10000;543217096;2
10000;547716400;2
10000;547652424;2
